name,datetime,temp,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,stations,source
"Talisay,Daanbantayan, Cebu",2024-01-01T00:00:00,27.7,84.25,0,23,16.9,55.5,1012,80.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T01:00:00,27.6,84.24,0,22.7,17.6,56.2,1011,84.8,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T02:00:00,27.5,84.23,0,22,18.4,60.8,1011,79.4,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T03:00:00,27.5,84.23,0.1,24.8,18.7,66.6,1010,78.8,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T04:00:00,27.6,83.74,0,24.8,19.8,63.3,1010,60.9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T05:00:00,27.6,83.24,0,25.2,19.4,61.2,1010,60.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T06:00:00,27.7,83.75,0,24.5,18,62,1011,46.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T07:00:00,27.7,82.75,0,24.8,18.4,62,1011,40.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T08:00:00,27.7,82.75,0,25.6,18,60.1,1012,18.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T09:00:00,27.7,83.25,0,25.6,18.4,58.9,1012,10.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T10:00:00,27.8,82.76,0,24.5,17.6,57.3,1012,9.1,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T11:00:00,27.9,82.28,0,24.5,16.2,54.5,1012,10.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T12:00:00,28,81.8,0,23.4,14.4,46,1011,6.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T13:00:00,28.2,80.86,0,22,14,39.4,1010,7.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T14:00:00,28.3,80.39,0,20.9,13.3,33.7,1009,14.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T15:00:00,28.3,81.35,0,19.1,14,22.2,1009,22.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T16:00:00,27.8,83.26,0,23,18.4,25.4,1009,23.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T17:00:00,27.4,84.72,0.3,26.6,19.8,38.7,1009,43.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T18:00:00,28,82.29,0,27.4,18,29.4,1010,54.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T19:00:00,28.1,82.31,0,27.4,19.8,25.9,1011,59.1,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T20:00:00,28.2,80.37,0.1,31,22.3,30.6,1011,65.4,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T21:00:00,28.1,80.36,0.2,32.4,21.2,41.5,1012,80.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T22:00:00,27.9,80.82,0.4,32.8,20.5,50.4,1012,86.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-01T23:00:00,27.4,82.72,0.3,33.8,20.9,49.3,1011,81,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T00:00:00,27.5,82.23,0.1,29.9,21.2,47.4,1011,80.6,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T01:00:00,27.5,82.23,0,23.8,20.9,62.8,1011,94.1,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T02:00:00,27.4,83.22,0,20.9,18.4,69.4,1010,89.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T03:00:00,27.5,82.73,0.1,24.1,16.9,45,1010,93.9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T04:00:00,27.5,82.73,0,25.2,18.4,37.9,1010,99.9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T05:00:00,27.5,82.73,0,27,18.7,58.8,1011,100,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T06:00:00,27.5,82.73,0,28.4,17.6,65.4,1011,100,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T07:00:00,27.6,82.25,0,28.1,18,70.7,1011,100,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T08:00:00,27.6,81.75,0,27.7,17.3,73.6,1012,98.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T09:00:00,27.6,81.27,0,27.7,16.6,74.4,1013,99.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T10:00:00,27.6,80.78,0,27.4,15.1,77.7,1013,100,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T11:00:00,27.8,79.36,0,25.9,11.9,76.6,1012,99.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T12:00:00,28,77.97,0,23.4,7.9,70.8,1011,97.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T13:00:00,28.3,76.62,0,21.2,5,50.4,1010,95,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T14:00:00,28.5,75.73,0,19.8,5.4,10.7,1009,82.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T15:00:00,28.6,75.29,0,12.2,7.9,353.2,1009,75.5,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T16:00:00,28.5,76.65,0,14.8,10.8,352.6,1009,73.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T17:00:00,28.5,78.04,0,16.6,12.2,1.5,1009,74,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T18:00:00,28.1,79.88,0,17.6,15.1,4.6,1009,42.6,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T19:00:00,28.1,80.84,0,20.9,16.9,8.4,1010,44.4,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T20:00:00,28,81.8,0,23,17.3,13.8,1010,29.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T21:00:00,28.1,81.33,0,23.4,18.4,15.1,1010,9.6,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T22:00:00,28.1,80.36,0,23.4,18.7,18,1011,4.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-02T23:00:00,28.1,80.36,0,22.7,18,22.5,1011,9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T00:00:00,27.9,80.82,0,20.9,18,30.3,1011,8.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T01:00:00,27.8,81.29,0.1,19.8,17.6,42.6,1010,20.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T02:00:00,27.6,81.75,0.1,20.5,16.9,52.5,1010,26.7,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T03:00:00,27.5,82.23,0,22.3,16.2,56.7,1010,19.6,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T04:00:00,27.4,82.22,0,21.6,15.8,59.1,1010,18.9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T05:00:00,27.3,82.21,0,21.6,15.8,62.2,1011,20.1,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T06:00:00,27.7,77.93,0,22,15.8,59.3,1011,40,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T07:00:00,27.7,76.99,0,22,16.2,63.7,1012,48.2,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T08:00:00,27.7,76.99,0,22,15.1,72.4,1013,20.1,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T09:00:00,27.7,76.53,0,20.9,13.7,80.5,1013,4.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T10:00:00,27.8,75.62,0,19.4,11.2,82.6,1013,2.3,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T11:00:00,27.8,75.17,0,17.3,9,81.4,1012,0.9,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T12:00:00,27.9,74.73,0,15.5,6.8,75.2,1011,0,,remote,obs
"Talisay,Daanbantayan, Cebu",2024-01-03T13:00:00,28,73.85,0,13.7,5,65.2,1010,0,,remote,obs
