name,datetime,temp,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,stations,source
"talisay, daanbantayan, cebu",2026-02-11T00:00:00,26.5,80.15,0,32.4,28.8,57.2,1013,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T01:00:00,26.3,82.09,0.1,30.2,27.7,64,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T02:00:00,25.9,85.6,0.2,29.2,26.3,64.2,1012,99.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T03:00:00,25.8,87.15,0.6,34.2,24.1,63.2,1012,98.3,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T04:00:00,26,86.12,0,31,23,60,1012,95.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T05:00:00,26.2,85.62,0,29.9,23,61.4,1013,96.2,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T06:00:00,26.2,85.62,0,31,22,55.1,1014,96.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T07:00:00,26.4,84.62,0,30.6,22.3,48.6,1014,99.3,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T08:00:00,26.6,83.63,0,29.5,24.5,48.6,1015,99.4,10.4,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T09:00:00,26.7,83.64,0.1,31,23.4,53.3,1015,100,18.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T10:00:00,26.7,84.14,0.1,32,25.2,53.2,1015,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T11:00:00,26.5,85.14,0.2,31.7,23.8,52.2,1015,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T12:00:00,26.3,86.67,0.2,30.6,21.6,42.7,1013,99.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T13:00:00,26.2,87.71,0.1,29.9,21.2,37.5,1013,99.5,20,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T14:00:00,26.4,87.2,0,25.9,23,31.7,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T15:00:00,26.6,86.18,0.1,33.1,27,33.6,1012,97.7,19,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T16:00:00,26.6,86.18,0.2,34.9,27.7,39.8,1011,95.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T17:00:00,26.3,88.25,0.1,38.2,29.2,47.7,1012,95.1,6.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T18:00:00,26.9,83.16,0,37.8,24.5,37.6,1012,99.4,14.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T19:00:00,26.9,83.66,0,36,25.6,41,1012,100,15.8,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T20:00:00,26.8,84.15,0,36,23.8,42.2,1013,99.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T21:00:00,26.7,85.16,0,36,24.8,42.6,1013,95.8,17.3,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T22:00:00,26.5,86.17,0,36,25.2,45.4,1013,94.8,16.3,remote,obs
"talisay, daanbantayan, cebu",2026-02-11T23:00:00,26.5,86.17,0,35.3,22.7,50.7,1013,84.4,15.4,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T00:00:00,26.4,86.16,0.1,34.2,20.9,53.9,1013,91.7,16.2,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T01:00:00,26.4,85.64,0.1,34.2,22,54.1,1012,91.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T02:00:00,26.3,86.67,0,34.6,22.7,57,1011,91,9.3,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T03:00:00,26.3,86.15,0.4,33.1,25.9,57.6,1011,95.1,8.4,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T04:00:00,26.3,86.15,0.2,34.2,25.6,56,1011,96.8,14.4,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T05:00:00,26.2,87.19,0.5,34.9,25.6,51.8,1011,99.7,13.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T06:00:00,25.9,88.75,0.7,33.5,20.5,49.5,1012,100,5.9,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T07:00:00,25.8,89.27,0.9,33.1,21.2,53.7,1012,100,15.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T08:00:00,26.1,87.18,0.6,34.6,22.3,54.7,1013,100,17.8,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T09:00:00,26.2,87.19,0.2,33.5,22.3,50.5,1013,94.1,17.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T10:00:00,26.4,86.68,0,32.4,22.7,38,1013,78.6,11.2,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T11:00:00,26.6,85.66,0,32,25.9,32.8,1012,51.4,13.2,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T12:00:00,26.8,84.15,0,34.2,28.1,33.5,1012,32.5,16.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T13:00:00,26.9,83.66,0,32.4,26.6,31.3,1011,36.8,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T14:00:00,27,83.67,0,31,25.2,27.4,1010,78.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T15:00:00,27,84.18,0,32.8,25.6,26.8,1009,68.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T16:00:00,27,85.19,0,33.1,26.6,24.8,1010,84.4,24.1,remote,obs
