id,datetime,windspeed,winddir,temp,humidity,windgust,precip,sealevelpressure,cloudcover,visibility
95,2026-03-01 16:00:00+00,0.76,22.9,28.2,73.4,9.7,0.0,1007,100.0,24.1
96,2026-03-01 17:00:00+00,0.54,158.1,28.1,74.8,6.8,0.0,1007,100.0,24.1
97,2026-03-01 18:00:00+00,0.14,148.1,27.5,79.3,10.1,0.0,1007,100.0,24.1
98,2026-03-01 19:00:00+00,0.14,157.5,27.5,79.3,10.1,0.0,1007,100.0,24.1
99,2026-03-01 20:00:00+00,0.04,157.5,27.4,80.3,9.4,0.1,1009,100.0,24.1
100,2026-03-01 21:00:00+00,0.05,182.7,27.4,80.3,11.5,0.0,1010,72.2,24.1
101,2026-03-01 22:00:00+00,0.08,157.5,26.7,82.1,24.8,0.0,1010,57.3,24.1
102,2026-03-01 23:00:00+00,0.12,164.3,26.6,82.1,23.4,0.0,1010,3.0,24.1
103,2026-03-02 00:00:00+00,0.15,261.8,26.3,82.6,21.2,0.0,1009,10.5,24.1
104,2026-03-02 01:00:00+00,0.02,0.0,26.2,83.1,17.6,0.0,1008,22.6,24.1
105,2026-03-02 02:00:00+00,0.3,47.3,26.0,83.6,15.5,0.1,1008,14.1,24.1
106,2026-03-02 03:00:00+00,0.06,136.2,26.1,84.1,16.9,0.0,1008,100.0,24.1
107,2026-03-02 04:00:00+00,0.25,353.5,26.0,84.1,16.9,0.0,1008,100.0,24.1
108,2026-03-02 05:00:00+00,0.35,1.7,26.0,84.1,16.9,0.0,1009,100.0,24.1
109,2026-03-02 06:00:00+00,0.44,258.7,26.0,83.6,17.3,0.0,1009,100.0,24.1
110,2026-03-02 07:00:00+00,0.17,178.7,26.4,82.1,18.4,0.0,1010,100.0,24.1
111,2026-03-02 08:00:00+00,1.38,5.2,26.9,79.2,18.7,0.0,1011,100.0,24.1
112,2026-03-02 09:00:00+00,2.19,354.0,27.1,78.3,18.7,0.0,1011,100.0,24.1
113,2026-03-02 10:00:00+00,2.32,358.2,27.3,77.4,18.7,0.0,1011,100.0,24.1
114,2026-03-02 11:00:00+00,2.31,358.3,27.4,76.9,19.1,0.0,1010,100.0,24.1
115,2026-03-02 13:00:00+00,2.0,353.0,27.5,76.0,18.0,0.0,1009,92.6,24.1
116,2026-03-02 14:00:00+00,2.55,354.8,27.7,75.2,18.4,0.2,1008,100.0,24.1
117,2026-03-02 15:00:00+00,2.6,356.9,27.8,76.1,23.0,0.4,1008,100.0,22.9
118,2026-03-02 16:00:00+00,2.52,352.3,27.7,77.5,22.7,0.2,1008,100.0,23.0
119,2026-03-02 17:00:00+00,1.9,351.5,27.1,82.2,25.2,0.2,1008,90.1,23.1
120,2026-03-02 18:00:00+00,1.78,356.6,26.9,83.2,22.7,0.3,1009,100.0,24.1
121,2026-03-02 19:00:00+00,0.65,7.2,27.0,83.2,20.5,0.0,1009,100.0,24.1
122,2026-03-02 20:00:00+00,0.99,354.6,26.9,84.2,22.7,0.1,1010,99.2,24.1
123,2026-03-02 21:00:00+00,1.13,352.7,26.6,83.6,22.3,0.3,1011,15.4,17.6
124,2026-03-02 23:00:00+00,1.82,356.0,26.4,82.6,21.2,0.0,1010,96.7,24.1
